Version,Depends
1.0,R (>= 1.4.1)
3.3-2,R (>= 1.5.0)
3.3-4,R (>= 1.5.0)
3.3-6,R (>= 1.5.0)
3.3-7,R (>= 1.5.0)
3.3-8,R (>= 1.5.0)
3.4-1,R (>= 1.5.0)
3.4-4,R (>= 1.6.0)
3.4-5,R (>= 1.6.0)
3.9-6,R (>= 1.7.0)
4.0-1,R (>= 1.7.0)
4.0-7,R (>= 1.7.0)
4.3-0,R (>= 1.8.1)
4.3-2,R (>= 1.8.1)
4.3-3,R (>= 1.8.1)
4.4-1,R (>= 1.8.1)
4.4-2,R (>= 1.8.1)
4.5-1,R (>= 1.8.1)
4.5-2,R (>= 1.8.1)
4.5-4,R (>= 1.8.1)
4.5-6,R (>= 1.8.1)
4.5-7,R (>= 1.8.1)
4.5-8,R (>= 1.8.1)
4.5-9,R (>= 1.8.1)
4.5-10,R (>= 1.8.1)
4.5-11,R (>= 1.8.1)
4.5-12,R (>= 1.8.1)
4.5-15,R (>= 1.8.1)
4.5-16,R (>= 1.8.1)
4.5-18,R (>= 2.0.0) stats
4.5-19,R (>= 2.0.0) stats
4.5-20,R (>= 2.0.0) stats
4.5-21,R (>= 2.0.0) stats
4.5-22,R (>= 2.0.0) stats
4.5-23,R (>= 2.0.0) stats
4.5-24,R (>= 2.0.0) stats
4.5-25,R (>= 2.0.0) stats
4.5-26,R (>= 2.0.0) stats
4.5-27,R (>= 2.0.0) stats
4.5-28,R (>= 2.0.0) stats
4.5-30,R (>= 2.0.0) stats
4.5-31,R (>= 2.0.0) stats
4.5-32,R (>= 2.0.0) stats
4.5-33,R (>= 2.0.0) stats
4.5-34,R (>= 2.0.0) stats
4.5-35,R (>= 2.0.0) stats
4.5-36,R (>= 2.0.0) stats
4.6-1,R (>= 2.5.0) stats
4.6-2,R (>= 2.5.0) stats
4.6-3,R (>= 2.5.0) stats
4.6-4,R (>= 2.5.0) stats
4.6-5,R (>= 2.5.0) stats
4.6-6,R (>= 2.5.0) stats
4.6-7,R (>= 2.5.0) stats
